block_height,block_timestamp,tx_hash,sender,recipient,quantums,USDC
15193975,2024-05-09 15:35:48.582000 UTC,60843CD076EF5CF78C2E810D13039976F6E942C73DB7BCD805B7E1BCD3286EA2,dydx1apfeprt0q67qqnf9758wnz087xekdvme8as2rt,dydx1axv8uda4c8ryz9e5gyx7hc3vz4ptmr6gmn67jw,1.099E+11,109900
22232365,2024-08-07 12:57:03.234000 UTC,4851AEE3AF33E9C0BB36B3E7E8282D60876C6528B58B53E0ADF7B88B607843B2,dydx1sgeqsvezgh95e8nn58d56kupk42e2kfkpykh7k,dydx1dz7xsnhvcnpjwddlwwlpp3fund4r5ursljkf22,1E+11,100000
18173002,2024-06-15 04:42:50.262000 UTC,65432600755BFFC130DC6696C32C1902ED1DB4842A9BC3724B9CC75D7E72E897,dydx1esd2vegdfzqdaznz0az4guedsfz4mfx0slxafp,dydx1knal8a729nfm08d06datzldl60en0pjfurum38,1E+11,100000
17995901,2024-06-12 15:42:08.800000 UTC,54268B2310FF31D3B2AB3F7F6FC154FE15FAE26DDA2D33DB0FD7A7CE94E0D086,dydx1esd2vegdfzqdaznz0az4guedsfz4mfx0slxafp,dydx1knal8a729nfm08d06datzldl60en0pjfurum38,1E+11,100000
16165482,2024-05-21 09:18:22.315000 UTC,D02C734A6A83A6B3B2936985CE39DB33276DED64079E134786C2A5F3DC9D0149,dydx12cll7esjffnfwyyw99x440a0yfctmfx2y26nt0,dydx1wcvgjn7cnghtgvf8wctukjssp9kcl59r9mzkac,1E+11,100000
13561096,2024-04-18 16:57:19.048000 UTC,541B97446114BC25D388A20EABD7F7F7D5B135D3F9CE2AF28F63FA7193ADCAF2,dydx19rg50jf2m4k0pr3krcgl4cpfxycjd8y7qdnm2t,dydx12dhlxpseede4dds89rzltylyyh9xalzslfs79d,1E+11,100000
12845816,2024-04-09 10:21:02.791000 UTC,3FF37BCD3CBB1C7007578C5BC07BC00327BF9670910698C1F4155BBB8552592D,dydx19rg50jf2m4k0pr3krcgl4cpfxycjd8y7qdnm2t,dydx1pvurjy9k8n8p3l7z7sfwhn9acl86c7tv5ge40t,1E+11,100000
12578986,2024-04-05 16:47:06.007000 UTC,36142A7D596762E8C747DEEEE743B93D97074202141569448F2AA8C82FAB7B69,dydx19rg50jf2m4k0pr3krcgl4cpfxycjd8y7qdnm2t,dydx1pvurjy9k8n8p3l7z7sfwhn9acl86c7tv5ge40t,1E+11,100000
10625983,2024-03-12 08:06:45.295000 UTC,1DA0A95CA43988FAB69AD66C9BF709141CB6CDBB66B63CE4FFB0FE87DFC35E83,dydx1ntv4qwhj7eqr92d2gl7crpa5re6cl2d7ae3xst,dydx12u2xq9vgy087zngm60luvs7kkl9cquldt6u2n0,1E+11,100000
8829801,2024-02-18 11:23:09.290000 UTC,1C5F31CDFA1985BB8ACCBE87DDE66F49A910D4C2BCD036F6792C989DD12222E8,dydx1deu56ek82hgzusxj82m59k004xnzcq8xlhh0vt,dydx1xdh5kpwg54dpzq7x8tdpg682j2z7vtm6ysd62c,1E+11,100000
2909027,2023-12-08 09:32:03.803000 UTC,793C986C504559DDC02C72F4958D166C875E66DCFD016D7CB655810970098531,dydx176jwcephxu22hxwa32kshd4hd9qlnr2jkzl4tj,dydx102nnlm75ca4kvqh4w946cwfjfs9jezrj62zm35,1E+11,100000
2403858,2023-12-01 14:03:53.552000 UTC,D0E1CC5EBBA423F35151BCEAF08DCF197D94A7AECF1D4B11619B7B9A5EA21387,dydx176jwcephxu22hxwa32kshd4hd9qlnr2jkzl4tj,dydx102nnlm75ca4kvqh4w946cwfjfs9jezrj62zm35,1E+11,100000
8907506,2024-02-19 09:55:15.344000 UTC,B456CF430A02EE1CBB06CFCB60AE71A3631820F4E06150E5E936D804B12757D4,dydx1hpt5jt7x0flgr07yp3dj47yyv5dc86t452nvup,dydx1deu56ek82hgzusxj82m59k004xnzcq8xlhh0vt,88465157969,88465.15797
8464391,2024-02-14 02:37:31.901000 UTC,8D6CD524B1E8F99D242ABB10861F570833DC8FACD6E194A6411F92646D060748,dydx1dpvrps9u80djse2xe5c3nledxwjf32zwcdm5rr,dydx1q8pg5tldgfv6kfzdcp8g5y3c6vvr7n7yauq8zk,85000800000,85000.8
13620129,2024-04-19 11:12:49.029000 UTC,6264B035DFDE6C7C6E31A962A4C5B393F9000F9BF3B3133A82C5D285A8D7DE4E,dydx1unga99ldhcafpf563hu547ahmwv7flnxmr0979,dydx1kgpkyqw5qf3j006dxh2zxjtv2qv4gjz6a8aen2,85000000000,85000
